team,rank,points
France,1,1877.32
Spain,2,1876.4
Argentina,3,1874.81
England,4,1825.97
Portugal,5,1763.83
Brazil,6,1761.16
Netherlands,7,1757.87
Morocco,8,1755.87
Belgium,9,1734.71
Germany,10,1730.37
Croatia,11,1717.07
Colombia,13,1693.09
Senegal,14,1688.99
Mexico,15,1681.03
United States,16,1673.13
Uruguay,17,1673.07
Japan,18,1660.43
Switzerland,19,1649.4
Iran,21,1615.0
Turkey,22,1599.0
Ecuador,23,1595.0
Austria,24,1593.0
South Korea,25,1589.0
Australia,27,1581.0
Algeria,28,1564.0
Egypt,29,1563.0
Canada,30,1556.0
Norway,31,1551.0
Panama,33,1541.0
Ivory Coast,34,1533.0
Sweden,38,1515.0
Paraguay,40,1504.0
Czechia,41,1501.0
Scotland,43,1498.0
Tunisia,44,1483.0
DR Congo,46,1478.0
Uzbekistan,50,1465.0
Qatar,55,1455.0
Iraq,57,1447.0
South Africa,60,1430.0
Saudi Arabia,61,1421.0
Jordan,63,1391.0
Bosnia and Herzegovina,65,1386.0
Cape Verde,69,1366.0
Ghana,74,1346.0
Curaçao,82,1295.0
Haiti,83,1292.0
New Zealand,85,1282.0
