team,decimal_odds,decimal_odds_sharp,n_books,n_sharp,as_of
Spain,5.67,5.87,8,4,2026-06-10
France,6.0,6.1,8,4,2026-06-10
England,8.75,9.18,8,4,2026-06-10
Portugal,9.24,9.54,8,4,2026-06-10
Brazil,10.25,11.45,8,4,2026-06-10
Argentina,11.0,11.44,8,4,2026-06-10
Germany,15.5,17.64,8,4,2026-06-10
Netherlands,21.0,22.17,8,4,2026-06-10
Norway,34.0,38.38,8,4,2026-06-10
Belgium,41.0,44.49,8,4,2026-06-10
Colombia,43.5,52.83,8,4,2026-06-10
Morocco,55.5,58.06,8,4,2026-06-10
Japan,56.57,57.19,8,4,2026-06-10
United States,61.75,75.11,8,4,2026-06-10
Mexico,63.0,64.3,8,4,2026-06-10
Switzerland,74.0,90.8,8,4,2026-06-10
Uruguay,74.0,94.12,8,4,2026-06-10
Turkey,80.5,86.99,6,4,2026-06-10
Croatia,96.0,112.88,8,4,2026-06-10
Ecuador,101.0,109.07,8,4,2026-06-10
Senegal,126.0,124.42,8,4,2026-06-10
Austria,151.0,203.86,8,4,2026-06-10
Sweden,151.0,250.61,8,4,2026-06-10
Canada,226.0,300.61,8,4,2026-06-10
Ivory Coast,231.11,224.73,8,4,2026-06-10
Czechia,251.0,335.25,8,4,2026-06-10
Scotland,276.0,342.75,8,4,2026-06-10
Paraguay,350.5,511.92,8,4,2026-06-10
Algeria,376.0,573.59,8,4,2026-06-10
South Korea,400.0,405.25,8,4,2026-06-10
Egypt,400.5,516.92,8,4,2026-06-10
Ghana,501.0,641.09,8,4,2026-06-10
Bosnia and Herzegovina,501.0,544.42,8,4,2026-06-10
Australia,633.84,531.09,8,4,2026-06-10
Iran,726.0,1041.92,8,4,2026-06-10
DR Congo,875.5,616.92,8,4,2026-06-10
Tunisia,875.5,1375.25,8,4,2026-06-10
Saudi Arabia,1001.0,1500.25,8,4,2026-06-10
South Africa,1001.0,1437.75,8,4,2026-06-10
Iraq,1251.0,987.75,8,4,2026-06-10
Panama,1501.0,1625.25,8,4,2026-06-10
Cape Verde,1750.5,1625.25,8,4,2026-06-10
Qatar,1750.5,1500.25,8,4,2026-06-10
New Zealand,1750.5,1625.25,8,4,2026-06-10
Uzbekistan,1750.5,1625.25,8,4,2026-06-10
Jordan,2000.0,1625.25,8,4,2026-06-10
Haiti,2250.5,1625.25,8,4,2026-06-10
Curaçao,2250.5,1625.25,8,4,2026-06-10
