team,book,decimal_odds
Spain,DraftKings,5.5
Spain,FanDuel,5.6
Spain,BetMGM,5.5
Spain,Caesars,5.5
Spain,Pinnacle,5.75
Spain,Betfair Exchange,5.9
Spain,Polymarket,6.08
Spain,Kalshi,5.76
France,DraftKings,5.75
France,FanDuel,6.0
France,BetMGM,6.0
France,Caesars,5.5
France,Pinnacle,5.75
France,Betfair Exchange,6.2
France,Polymarket,6.23
France,Kalshi,6.23
England,DraftKings,8.5
England,FanDuel,8.0
England,BetMGM,8.0
England,Caesars,8.0
England,Pinnacle,9.0
England,Betfair Exchange,9.2
England,Polymarket,9.22
England,Kalshi,9.3
Portugal,DraftKings,9.0
Portugal,FanDuel,9.0
Portugal,BetMGM,9.0
Portugal,Caesars,9.0
Portugal,Pinnacle,9.5
Portugal,Betfair Exchange,9.6
Portugal,Polymarket,9.48
Portugal,Kalshi,9.57
Brazil,DraftKings,10.0
Brazil,FanDuel,9.5
Brazil,BetMGM,10.0
Brazil,Caesars,10.0
Brazil,Pinnacle,10.5
Brazil,Betfair Exchange,11.5
Brazil,Polymarket,11.83
Brazil,Kalshi,11.98
Argentina,DraftKings,10.0
Argentina,FanDuel,11.0
Argentina,BetMGM,10.0
Argentina,Caesars,10.0
Argentina,Pinnacle,11.0
Argentina,Betfair Exchange,11.5
Argentina,Polymarket,11.7
Argentina,Kalshi,11.56
Germany,DraftKings,15.0
Germany,FanDuel,14.0
Germany,BetMGM,15.0
Germany,Caesars,15.0
Germany,Pinnacle,16.0
Germany,Betfair Exchange,17.5
Germany,Polymarket,19.05
Germany,Kalshi,18.02
Netherlands,DraftKings,21.0
Netherlands,FanDuel,17.0
Netherlands,BetMGM,21.0
Netherlands,Caesars,21.0
Netherlands,Pinnacle,20.0
Netherlands,Betfair Exchange,22.0
Netherlands,Polymarket,24.69
Netherlands,Kalshi,21.98
Norway,DraftKings,31.0
Norway,FanDuel,34.0
Norway,BetMGM,34.0
Norway,Caesars,31.0
Norway,Pinnacle,33.9
Norway,Betfair Exchange,38.0
Norway,Polymarket,40.82
Norway,Kalshi,40.82
Belgium,DraftKings,41.0
Belgium,FanDuel,23.0
Belgium,BetMGM,34.0
Belgium,Caesars,36.0
Belgium,Pinnacle,41.0
Belgium,Betfair Exchange,46.0
Belgium,Polymarket,46.51
Belgium,Kalshi,44.44
Colombia,DraftKings,41.0
Colombia,FanDuel,36.0
Colombia,BetMGM,41.0
Colombia,Caesars,41.0
Colombia,Pinnacle,46.0
Colombia,Betfair Exchange,60.0
Colombia,Polymarket,54.05
Colombia,Kalshi,51.28
Morocco,DraftKings,51.0
Morocco,FanDuel,51.0
Morocco,BetMGM,41.0
Morocco,Caesars,66.0
Morocco,Pinnacle,51.0
Morocco,Betfair Exchange,60.0
Morocco,Polymarket,60.61
Morocco,Kalshi,60.61
Japan,DraftKings,56.0
Japan,FanDuel,46.0
Japan,BetMGM,51.0
Japan,Caesars,61.0
Japan,Pinnacle,46.0
Japan,Betfair Exchange,65.0
Japan,Polymarket,57.14
Japan,Kalshi,60.61
United States,DraftKings,61.0
United States,FanDuel,56.0
United States,BetMGM,51.0
United States,Caesars,51.0
United States,Pinnacle,66.0
United States,Betfair Exchange,85.0
United States,Polymarket,86.96
United States,Kalshi,62.5
Mexico,DraftKings,66.0
Mexico,FanDuel,56.0
Mexico,BetMGM,67.0
Mexico,Caesars,51.0
Mexico,Pinnacle,61.0
Mexico,Betfair Exchange,65.0
Mexico,Polymarket,74.07
Mexico,Kalshi,57.14
Switzerland,DraftKings,66.0
Switzerland,FanDuel,66.0
Switzerland,BetMGM,67.0
Switzerland,Caesars,51.0
Switzerland,Pinnacle,81.0
Switzerland,Betfair Exchange,90.0
Switzerland,Polymarket,86.96
Switzerland,Kalshi,105.26
Uruguay,DraftKings,66.0
Uruguay,FanDuel,56.0
Uruguay,BetMGM,67.0
Uruguay,Caesars,61.0
Uruguay,Pinnacle,81.0
Uruguay,Betfair Exchange,95.0
Uruguay,Polymarket,95.24
Uruguay,Kalshi,105.26
Turkey,FanDuel,66.0
Turkey,BetMGM,67.0
Turkey,Pinnacle,81.0
Turkey,Betfair Exchange,100.0
Turkey,Polymarket,80.0
Turkey,Kalshi,86.96
Croatia,DraftKings,91.0
Croatia,FanDuel,71.0
Croatia,BetMGM,81.0
Croatia,Caesars,66.0
Croatia,Pinnacle,101.0
Croatia,Betfair Exchange,140.0
Croatia,Polymarket,105.26
Croatia,Kalshi,105.26
Ecuador,DraftKings,81.0
Ecuador,FanDuel,101.0
Ecuador,BetMGM,81.0
Ecuador,Caesars,101.0
Ecuador,Pinnacle,101.0
Ecuador,Betfair Exchange,100.0
Ecuador,Polymarket,117.65
Ecuador,Kalshi,117.65
Senegal,DraftKings,91.0
Senegal,FanDuel,126.0
Senegal,BetMGM,67.0
Senegal,Caesars,126.0
Senegal,Pinnacle,101.0
Senegal,Betfair Exchange,130.0
Senegal,Polymarket,133.33
Senegal,Kalshi,133.33
Austria,DraftKings,151.0
Austria,FanDuel,101.0
Austria,BetMGM,151.0
Austria,Caesars,101.0
Austria,Pinnacle,151.0
Austria,Betfair Exchange,220.0
Austria,Polymarket,222.22
Austria,Kalshi,222.22
Sweden,DraftKings,121.0
Sweden,FanDuel,151.0
Sweden,BetMGM,101.0
Sweden,Caesars,151.0
Sweden,Pinnacle,151.0
Sweden,Betfair Exchange,280.0
Sweden,Polymarket,285.71
Sweden,Kalshi,285.71
Canada,DraftKings,201.0
Canada,FanDuel,176.0
Canada,BetMGM,151.0
Canada,Caesars,151.0
Canada,Pinnacle,251.0
Canada,Betfair Exchange,380.0
Canada,Polymarket,285.71
Canada,Kalshi,285.71
Ivory Coast,DraftKings,251.0
Ivory Coast,FanDuel,151.0
Ivory Coast,BetMGM,201.0
Ivory Coast,Caesars,251.0
Ivory Coast,Pinnacle,151.0
Ivory Coast,Betfair Exchange,240.0
Ivory Coast,Polymarket,222.22
Ivory Coast,Kalshi,285.71
Czechia,DraftKings,251.0
Czechia,FanDuel,601.0
