date,home_team,away_team,elo_home_pre,elo_away_pre,home_score,away_score,tournament,neutral
1872-11-30,Scotland,England,1500.0,1500.0,0,0,Friendly,False
1873-03-08,England,Scotland,1502.8012999960577,1497.1987000039423,4,2,Friendly,False
1874-03-07,Scotland,England,1486.6225308642745,1513.3774691357255,2,1,Friendly,False
1875-03-06,England,Scotland,1505.4549455176289,1494.5450544823711,2,2,Friendly,False
1876-03-04,Scotland,England,1497.633108335869,1502.366891664131,3,0,Friendly,False
1876-03-25,Scotland,Wales,1510.4513868995473,1500.0,4,0,Friendly,False
1877-03-03,England,Scotland,1489.5486131004527,1523.4336794470626,1,3,Friendly,False
1877-03-05,Wales,Scotland,1487.0177074524847,1541.254127950709,0,2,Friendly,False
1878-03-02,Scotland,England,1558.2185529062872,1471.7281645968062,7,2,Friendly,False
1878-03-23,Scotland,Wales,1568.4078853249753,1470.0532824969066,9,0,Friendly,False
1879-01-18,England,Wales,1461.5388321781181,1457.9539723818286,2,1,Friendly,False
1879-04-05,England,Scotland,1468.6427258843123,1580.5071954400532,5,4,Friendly,False
1879-04-07,Wales,Scotland,1450.8500786756344,1570.1658412336733,0,3,Friendly,False
1880-03-13,Scotland,England,1586.6939257802123,1478.9840800906923,5,4,Friendly,False
1880-03-15,Wales,England,1434.3219941290954,1474.3391664073167,2,3,Friendly,False
1880-03-27,Scotland,Wales,1591.3388394635879,1422.6125003654636,5,1,Friendly,False
1881-02-26,England,Wales,1486.0486601709486,1416.0300296823991,0,1,Friendly,False
1881-03-12,England,Scotland,1471.5116328670836,1597.9213101466523,1,6,Friendly,False
1881-03-14,Wales,Scotland,1430.567056986264,1616.403968192165,1,5,Friendly,False
1882-02-18,Northern Ireland,England,1500.0,1453.028974821571,0,13,Friendly,False
1882-02-25,Wales,Northern Ireland,1416.357399749539,1458.0159383821356,7,1,Friendly,False
1882-03-11,Scotland,England,1630.6136254288901,1495.0130364394354,5,1,Friendly,False
1882-03-13,Wales,England,1434.0722597137433,1487.3309979703267,5,3,Friendly,False
1882-03-25,Scotland,Wales,1638.2956638979988,1447.0663641559952,5,0,Friendly,False
1883-02-03,England,Wales,1474.3368935280748,1440.763722604555,5,0,Friendly,False
1883-02-24,England,Northern Ireland,1487.0055000455147,1440.3010784179312,7,0,Friendly,False
1883-03-10,England,Scotland,1500.5319684644135,1644.598305449439,2,3,Friendly,False
1883-03-12,Wales,Scotland,1428.095116087115,1653.3367318985315,0,3,Friendly,False
1883-03-17,Northern Ireland,Wales,1426.7746099990325,1416.6436722976543,1,1,Friendly,False
1884-01-26,Northern Ireland,Scotland,1423.706852246673,1664.7881756879922,0,5,British Home Championship,False
1884-02-09,Wales,Northern Ireland,1419.7114300500139,1405.2606368482154,6,0,British Home Championship,False
1884-02-23,Northern Ireland,England,1383.5217531672,1491.793542015321,1,8,British Home Championship,False
1884-03-15,Scotland,England,1683.2343910864497,1524.7401696790741,1,0,British Home Championship,False
1884-03-17,Wales,England,1441.4503137310294,1519.2135621809296,0,4,British Home Championship,False
1884-03-29,Scotland,Wales,1688.7609985845943,1411.5276968434734,4,1,British Home Championship,False
1885-02-28,England,Northern Ireland,1549.1361790684855,1350.5751255034468,4,0,British Home Championship,False
1885-03-14,England,Wales,1557.6886773970928,1406.15503334017,1,1,British Home Championship,False
1885-03-14,Scotland,Northern Ireland,1694.1336620878978,1342.0226271748395,8,2,British Home Championship,False
1885-03-21,England,Scotland,1548.3982228183231,1698.5307433644653,1,1,British Home Championship,False
1885-03-23,Wales,Scotland,1415.4454879189395,1696.3812456517749,1,8,British Home Championship,False
1885-04-11,Northern Ireland,Wales,1337.625545898272,1397.8380426208703,2,8,British Home Championship,False
1885-11-28,United States,Canada,1500.0,1500.0,0,1,Friendly,False
1886-02-27,Wales,Northern Ireland,1433.347418844986,1302.1161696741565,5,0,British Home Championship,False
1886-03-13,Northern Ireland,England,1289.577264242242,1550.5477205310135,1,6,British Home Championship,False
1886-03-20,Northern Ireland,Scotland,1272.560612752085,1713.988690949844,2,7,British Home Championship,False
1886-03-27,Scotland,England,1721.361604351286,1567.5643720211706,1,1,British Home Championship,False
1886-03-29,Wales,England,1445.8863242769003,1576.9148214508746,1,3,British Home Championship,False
1886-04-10,Scotland,Wales,1712.011154921582,1425.3904109206132,4,1,British Home Championship,False
1886-11-25,United States,Canada,1487.1987000039423,1512.8012999960577,3,2,Friendly,False
1887-02-05,England,Northern Ireland,1597.4107348071616,1265.1876993506432,7,0,British Home Championship,False
1887-02-19,Scotland,Northern Ireland,1717.1287427656612,1260.0105607047917,4,1,British Home Championship,False
1887-02-26,England,Wales,1602.5878734530131,1420.272823076534,4,0,British Home Championship,False
1887-03-12,Northern Ireland,Wales,1257.9682043993223,1411.01982400187,4,1,British Home Championship,False
1887-03-19,England,Scotland,1611.8408725276772,1719.1710990711306,2,3,British Home Championship,False
1887-03-21,Wales,Scotland,1380.7924484082791,1733.854674700273,0,2,British Home Championship,False
1888-02-04,England,Wales,1597.1572968985347,1372.2889811845657,5,1,British Home Championship,False
1888-03-03,Wales,Northern Ireland,1364.7778603557929,1288.195579992913,11,0,British Home Championship,False
1888-03-10,Scotland,Wales,1742.3581419239865,1386.6990841086133,5,1,British Home Championship,False
1888-03-17,Scotland,England,1746.1647905650154,1604.6684177273075,0,5,British Home Championship,False
1888-03-24,Northern Ireland,Scotland,1266.2743562400926,1698.1276768182306,2,10,British Home Championship,False
1888-04-07,Northern Ireland,England,1257.0868818113408,1652.7055314740924,1,5,British Home Championship,False
1888-09-19,Scotland,Canada,1707.3151512469824,1504.9104899161143,4,0,Friendly,False
