team,decimal_odds
Spain,5.55
France,5.75
England,8.0
Brazil,9.75
Portugal,10.0
Argentina,10.0
Germany,14.5
Netherlands,21.0
Norway,35.0
Belgium,37.5
Colombia,41.0
Morocco,46.0
United States,54.0
Japan,58.5
Switzerland,66.5
Uruguay,66.5
Mexico,74.0
Turkey,79.0
Senegal,79.0
Ecuador,81.0
Croatia,86.0
Sweden,111.0
Austria,151.0
Canada,176.0
Scotland,226.0
Ivory Coast,226.0
Czechia,251.0
Paraguay,276.0
Egypt,276.0
Algeria,301.0
South Korea,326.0
Bosnia and Herzegovina,376.0
Ghana,401.0
Tunisia,501.0
Australia,551.0
Iran,601.0
DR Congo,876.0
Saudi Arabia,1001.0
South Africa,1001.0
Panama,1001.0
Cape Verde,1001.0
Qatar,1251.0
Uzbekistan,1251.0
New Zealand,1251.0
Iraq,1251.0
Jordan,1751.0
Curaçao,2501.0
Haiti,2501.0
