match,date,group,team1,team2,city,country
73,2026-06-28,R32,South Africa,Canada,Inglewood (Los Angeles),United States
74,2026-06-29,R32,Germany,Paraguay,Foxborough (Boston),United States
75,2026-06-29,R32,Netherlands,Morocco,Guadalupe (Monterrey),Mexico
76,2026-06-29,R32,Brazil,Japan,Houston,United States
77,2026-06-30,R32,France,Sweden,East Rutherford (New York/New Jersey),United States
78,2026-06-30,R32,Ivory Coast,Norway,Arlington (Dallas),United States
79,2026-06-30,R32,Mexico,Ecuador,Mexico City,Mexico
80,2026-07-01,R32,England,DR Congo,Atlanta,United States
81,2026-07-01,R32,United States,Bosnia and Herzegovina,Santa Clara (San Francisco Bay Area),United States
82,2026-07-01,R32,Belgium,Senegal,Seattle,United States
83,2026-07-02,R32,Portugal,Croatia,Toronto,Canada
84,2026-07-02,R32,Spain,Austria,Inglewood (Los Angeles),United States
85,2026-07-02,R32,Switzerland,Algeria,Vancouver,Canada
86,2026-07-03,R32,Argentina,Cape Verde,Miami Gardens (Miami),United States
87,2026-07-03,R32,Colombia,Ghana,Kansas City,United States
88,2026-07-03,R32,Australia,Egypt,Arlington (Dallas),United States
89,2026-07-04,R16,Paraguay,France,Philadelphia,United States
90,2026-07-04,R16,Canada,Morocco,Houston,United States
91,2026-07-05,R16,Brazil,Norway,East Rutherford (New York/New Jersey),United States
92,2026-07-05,R16,Mexico,England,Mexico City,Mexico
93,2026-07-06,R16,Portugal,Spain,Arlington (Dallas),United States
94,2026-07-06,R16,United States,Belgium,Seattle,United States
95,2026-07-07,R16,Argentina,Egypt,Atlanta,United States
96,2026-07-07,R16,Switzerland,Colombia,Vancouver,Canada
97,2026-07-09,QF,France,Morocco,Foxborough (Boston),United States
98,2026-07-10,QF,Spain,Belgium,Inglewood (Los Angeles),United States
99,2026-07-11,QF,Norway,England,Miami Gardens (Miami),United States
100,2026-07-11,QF,Argentina,Switzerland,Kansas City,United States
101,2026-07-14,SF,France,Spain,Arlington (Dallas),United States
102,2026-07-15,SF,England,Argentina,Atlanta,United States
103,2026-07-18,THIRD,France,England,Miami Gardens (Miami),United States
104,2026-07-19,FINAL,Spain,Argentina,East Rutherford (New York/New Jersey),United States
