match,round,team1,team2,winner,p_advancer,brier,logloss,forecast_at
83,R32,Portugal,Croatia,Portugal,0.5898,0.3365,0.528,2026-07-02T12:14:27Z
84,R32,Spain,Austria,Spain,0.803,0.0776,0.2194,2026-07-02T12:14:27Z
85,R32,Switzerland,Algeria,Switzerland,0.6476,0.2484,0.4345,2026-07-02T12:14:27Z
86,R32,Argentina,Cape Verde,Argentina,0.9298,0.0099,0.0728,2026-07-02T12:14:27Z
87,R32,Colombia,Ghana,Colombia,0.8839,0.027,0.1234,2026-07-02T12:14:27Z
88,R32,Australia,Egypt,Egypt,0.4369,0.6342,0.8281,2026-07-02T12:14:27Z
89,R16,Paraguay,France,France,0.804,0.0768,0.2182,2026-07-02T12:14:27Z
90,R16,Canada,Morocco,Morocco,0.6304,0.2732,0.4614,2026-07-02T12:14:27Z
91,R16,Brazil,Norway,Norway,0.397,0.7272,0.9238,2026-07-02T12:14:27Z
92,R16,Mexico,England,England,0.5012,0.4976,0.6908,2026-07-02T12:14:27Z
94,R16,United States,Belgium,Belgium,0.5144,0.4716,0.6648,2026-07-02T12:14:27Z
95,R16,Argentina,Egypt,Argentina,0.8685,0.0346,0.141,2026-07-04T08:08:15Z
